name,city,country,code
Wainwright Airport,Wainwright,United States,AIN
Adampur Airport,Adampur,India,AIP
Aripuanã Airport,Aripuana,Brazil,AIR
Arorae Island Airport,Arorae,Kiribati,AIS
Aitutaki Airport,Aitutaki,Cook Islands,AIT
Enua Airport,Atiu Island,Cook Islands,AIU
Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,AIZ
Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA
Al-Jawf Domestic Airport,Al-Jawf,Saudi Arabia,AJF
Ağrı Airport,Agri,Turkey,AJI
Arak Airport,Arak,Iran,AJK
Lengpui Airport,Aizwal,India,AJL
Ouani Airport,Anjouan,Comoros,AJN
Arvidsjaur Airport,Arvidsjaur,Sweden,AJR
Santa Maria Airport,Aracaju,Brazil,AJU
Mano Dayak International Airport,Agadez,Niger,AJY
Ankang Wulipu Airport,Ankang,China,AKA
Atka Airport,Atka,United States,AKB
Akron Fulton International Airport,Akron,United States,AKC
Akola Airport,Akola,India,AKD
Kufra Airport,Kufra,Libya,AKF
Prince Sultan Air Base,Al Kharj,Saudi Arabia,AKH
Akiak Airport,Akiak,United States,AKI
Asahikawa Airport,Asahikawa,Japan,AKJ
Akhiok Airport,Akhiok,United States,AKK
Auckland International Airport,Auckland,New Zealand,AKL
King Salmon Airport,King Salmon,United States,AKN
Colorado Plains Regional Airport,Akron,United States,AKO
Anaktuvuk Pass Airport,Anaktuvuk Pass,United States,AKP
Akure Airport,Akure,Nigeria,AKR
Gwaunaru'u Airport,Auki,Solomon Islands,AKS
RAF Akrotiri,Akrotiri,Cyprus,AKT
Aksu Airport,Aksu,China,AKU
Akulivik Airport,Akulivik,Canada,AKV
Aghajari Airport,Aghajari,Iran,AKW
Aktobe Airport,Aktyubinsk,Kazakhstan,AKX
Sittwe Airport,Sittwe,Burma,AKY
Almaty Airport,Alma-ata,Kazakhstan,ALA
Albany International Airport,Albany,United States,ALB
Alicante International Airport,Alicante,Spain,ALC
Alpine Casparis Municipal Airport,Alpine,United States,ALE
Alta Airport,Alta,Norway,ALF
Houari Boumediene Airport,Algier,Algeria,ALG
Albany Airport,Albany,Australia,ALH
Alice International Airport,Alice,United States,ALI
Alexander Bay Airport,Alexander Bay,South Africa,ALJ
Villanova D'Albenga International Airport,Albenga,Italy,ALL
Alamogordo White Sands Regional Airport,Alamogordo,United States,ALM
St Louis Regional Airport,Alton/St Louis,United States,ALN
Waterloo Regional Airport,Waterloo,United States,ALO
Aleppo International Airport,Aleppo,Syria,ALP
Alexandra Airport,Alexandra,New Zealand,ALR
San Luis Valley Regional Bergman Field,Alamosa,United States,ALS
Alula Airport,Alula,Somalia,ALU
Walla Walla Regional Airport,Walla Walla,United States,ALW
Thomas C Russell Field,Alexander City,United States,ALX
El Nouzha Airport,Alexandria,Egypt,ALY
Rick Husband Amarillo International Airport,Amarillo,United States,AMA
Ambilobe Airport,Ambilobe,Madagascar,AMB
Am Timan Airport,Am Timan,Chad,AMC
Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,AMD
Arba Minch Airport,Arba Minch,Ethiopia,AMH
Selaparang Airport,Mataram,Indonesia,AMI
Queen Alia International Airport,Amman,Jordan,AMM
Gratiot Community Airport,Kamloops,Canada,AMN
"Pattimura Airport, Ambon",Ambon,Indonesia,AMQ
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS
Amata Airport,Amata,Australia,AMT
Amderma Airport,Amderma,Russia,AMV
Ardmore Airport,Ardmore,New Zealand,AMZ
Anniston Regional Airport,Anniston,United States,ANB
Ted Stevens Anchorage International Airport,Anchorage,United States,ANC
Anderson Regional Airport,Andersen,United States,AND
Angers-Loire Airport,Angers/Marcé,France,ANE
Andrés Sabella Gálvez International Airport,Antofagasta,Chile,ANF
Angoulême-Brie-Champniers Airport,Angouleme,France,ANG
Aniak Airport,Aniak,United States,ANI
Etimesgut Air Base,Ankara,Turkey,ANK
Antsirabato Airport,Antalaha,Madagascar,ANM
Annette Island Airport,Annette Island,United States,ANN
Lee Airport,Annapolis,United States,ANP
Tri State Steuben County Airport,Angola,United States,ANQ
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR
Andahuaylas Airport,Andahuaylas,Peru,ANS
V.C. Bird International Airport,Antigua,Antigua and Barbuda,ANU
Anvik Airport,Anvik,United States,ANV
Andøya Airport,Andoya,Norway,ANX
Altenburg-Nobitz Airport,Altenburg,Germany,AOC
Anadolu Airport,Eskissehir,Turkey,AOE
Anshan Air Base,Anshan,China,AOG
Lima Allen County Airport,Lima,United States,AOH
Ancona Falconara Airport,Ancona,Italy,AOI
Aomori Airport,Aomori,Japan,AOJ
Karpathos Airport,Karpathos,Greece,AOK
Paso De Los Libres Airport,Paso De Los Libres,Argentina,AOL
Altoona Blair County Airport,Altoona,United States,AOO
Alferez FAP Alfredo Vladimir Sara Bauer Airport,Andoas,Peru,AOP
Sultan Abdul Halim Airport,Alor Setar,Malaysia,AOR
Aosta Airport,Aosta,Italy,AOT
Attopeu Airport,Attopeu,Laos,AOU
Centennial Airport,Denver,United States,APA
Napa County Airport,Napa,United States,APC
Naples Municipal Airport,Naples,United States,APF
Phillips Army Air Field,Aberdeen,United States,APG
Gomez Nino Apiay Air Base,Apiay,Colombia,API
Apataki Airport,Apataki,French Polynesia,APK
Nampula Airport,Nampula,Mozambique,APL
Alpena County Regional Airport,Alpena,United States,APN
Antonio Roldan Betancourt Airport,Carepa,Colombia,APO
Arapiraca Airport,Arapiraca,Brazil,APQ
Marion County Brown Field,Jasper,United States,APT
Faleolo International Airport,Faleolo,Samoa,APW
Zapala Airport,ZAPALA,Argentina,APZ
Araraquara Airport,Araracuara,Brazil,AQA
Santa Cruz del Quiche Airport,Santa Cruz des Quiche,Guatemala,AQB
Anqing Tianzhushan Airport,Anqing,China,AQG
Al Qaisumah/Hafr Al Batin Airport,Hafr Al-batin,Saudi Arabia,AQI
Aqaba King Hussein International Airport,Aqaba,Jordan,AQJ
Rodríguez Ballón International Airport,Arequipa,Peru,AQP
Acadiana Regional Airport,Louisiana,United States,ARA
Ann Arbor Municipal Airport,Ann Arbor,United States,ARB
Arctic Village Airport,Arctic Village,United States,ARC
Mali Airport,Alor Island,Indonesia,ARD
Antonio Nery Juarbe Pol Airport,Arecibo,Puerto Rico,ARE
Talagi Airport,Arkhangelsk,Russia,ARH
Chacalluta Airport,Arica,Chile,ARI
Arusha Airport,Arusha,Tanzania,ARK
Armidale Airport,Armidale,Australia,ARM
Stockholm-Arlanda Airport,Stockholm,Sweden,ARN
D. Casimiro Szlapelis Airport,Alto Rio Senguer,Argentina,ARR
Watertown International Airport,Watertown,United States,ART
Araçatuba Airport,Aracatuba,Brazil,ARU
Lakeland-Noble F. Lee Memorial field,Minocqua - Woodruff,United States,ARV
Arad International Airport,Arad,Romania,ARW
Ararat Airport,,Australia,ARY
Assab International Airport,Assab,Eritrea,ASA
Ashgabat International Airport,Ashkhabad,Turkmenistan,ASB
Andros Town Airport,Andros Town,Bahamas,ASD
Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE
Astrakhan Airport,Astrakhan,Russia,ASF
Boire Field,Nashua,United States,ASH
RAF Ascension Island,Wide Awake,Saint Helena,ASI
Amami Airport,Amami,Japan,ASJ
Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK
Asmara International Airport,Asmara,Eritrea,ASM
Talladega Municipal Airport,Talladega,United States,ASN
Asosa Airport,Asosa,Ethiopia,ASO
Alice Springs Airport,Alice Springs,Australia,ASP
Kayseri Erkilet Airport,Kayseri,Turkey,ASR
Arathusa Safari Lodge Airport,Arathusa,South Africa,ASS
Astoria Regional Airport,Astoria,United States,AST
Silvio Pettirossi International Airport,Asuncion,Paraguay,ASU
Amboseli Airport,Amboseli National Park,Kenya,ASV
Aswan International Airport,Aswan,Egypt,ASW
Comandante FAP German Arias Graziani Airport,Anta,Peru,ATA
Atbara Airport,Atbara,Sudan,ATB
Arthur's Town Airport,Arthur's Town,Bahamas,ATC
Uru Harbour Airport,Atoifi,Solomon Islands,ATD
Chachoán Airport,Ambato,Ecuador,ATF
Minhas Air Base,Kamra,Pakistan,ATG
Eleftherios Venizelos International Airport,Athens,Greece,ATH
Artigas International Airport,Artigas ,Uruguay,ATI
Antsirabe Airport,Antsirabe,Madagascar,ATJ
Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,ATK
Hartsfield Jackson Atlanta International Airport,Atlanta,United States,ATL
Altamira Airport,Altamira,Brazil,ATM
Ohio University Snyder Field,Athens,United States,ATO
Sri Guru Ram Dass Jee International Airport,Amritsar,India,ATQ
Atar International Airport,Atar,Mauritania,ATR
Appleton International Airport,Appleton,United States,ATW
Watertown Regional Airport,Watertown,United States,ATY
Assiut International Airport,Asyut,Egypt,ATZ
Queen Beatrix International Airport,Oranjestad,Aruba,AUA
Santiago Perez Airport,Arauca,Colombia,AUC
Auxerre-Branches Airport,Auxerre,France,AUF
Augusta State Airport,Augusta,United States,AUG
Abu Dhabi International Airport,Abu Dhabi,United Arab Emirates,AUH
Alakanuk Airport,Alakanuk,United States,AUK
Auburn University Regional Airport,Auburn,United States,AUO
Hiva Oa-Atuona Airport,Hiva-oa,French Polynesia,AUQ
Aurillac Airport,Aurillac,France,AUR
Austin Bergstrom International Airport,Austin,United States,AUS
Aurukun Airport,Aurukun,Australia,AUU
Wausau Downtown Airport,Wausau,United States,AUW
Araguaína Airport,Araguaina,Brazil,AUX
Aneityum Airport,Anelghowhat,Vanuatu,AUY
Anshun Huangguoshu Airport,Anshun,China,AVA
Aviano Air Base,Aviano,Italy,AVB
Maximo Gomez Airport,Ciego De Avila,Cuba,AVI
Arvaikheer Airport,Arvaikheer,Mongolia,AVK
Asheville Regional Airport,Asheville,United States,AVL
Avignon-Caumont Airport,Avignon,France,AVN
Avon Park Executive Airport,Avon Park,United States,AVO
Wilkes Barre Scranton International Airport,Scranton,United States,AVP
Alverca Air Base,Alverca,Portugal,AVR
Avalon Airport,Avalon,Australia,AVV
Marana Regional Airport,Tucson,United States,AVW
Catalina Airport,Catalina Island,United States,AVX
Awassa Airport,Awasa,Ethiopia,AWA
Aniwa Airport,Aniwa,Vanuatu,AWD
Wake Island Airfield,Wake island,Wake Island,AWK
Ahwaz Airport,Ahwaz,Iran,AWZ
Clayton J Lloyd International Airport,The Valley,Anguilla,AXA
Dimokritos Airport,Alexandroupolis,Greece,AXD
Alxa Left Banner Bayanhot Airport,Alxa Left Banner,China,AXF
Amakusa Airport,Amakusa,Japan,AXJ
Ataq Airport,Ataq,Yemen,AXK
El Eden Airport,Armenia,Colombia,AXM
Chandler Field,Alexandria,United States,AXN
Spring Point Airport,Spring Point,Bahamas,AXP
Arutua Airport,Arutua,French Polynesia,AXR
Akita Airport,Akita,Japan,AXT
Axum Airport,Axum,Ethiopia,AXU
Arkalyk North Airport,Arkalyk,Kazakhstan,AYK
Juan De Ayolas Airport,Ayolas,Paraguay,AYO
Coronel FAP Alfredo Mendivil Duarte Airport,Ayacucho,Peru,AYP
Ayers Rock Connellan Airport,Uluru,Australia,AYQ
Waycross Ware County Airport,Waycross,United States,AYS
Antalya International Airport,Antalya,Turkey,AYT
Ayawasi Airport,Ayawasi,Indonesia,AYW
Phoenix-Mesa-Gateway Airport,Mesa,United States,AZA
Shahid Sadooghi Airport,Yazd,Iran,AZD
Bateen Airport,Abu Dhabi,United Arab Emirates,AZI
Andizhan Airport,Andizhan,Uzbekistan,AZN
Kalamazoo Battle Creek International Airport,Kalamazoo,United States,AZO
Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria,AZR
Samaná El Catey International Airport,Samana,Dominican Republic,AZS
Beale Air Force Base,Marysville,United States,BAB
Barksdale Air Force Base,Shreveport,United States,BAD
Westfield-Barnes Regional Airport,Westfield,United States,BAF
Loakan Airport,Baguio,Philippines,BAG
Bahrain International Airport,Bahrain,Bahrain,BAH
Buenos Aires Airport,Buenos Aires,Costa Rica,BAI
Batman Airport,Batman,Turkey,BAL
Ernesto Cortissoz International Airport,Barranquilla,Colombia,BAQ
Qionghai Bo'ao Airport,Qionghai,China,BAR
Ballalae Airport,Ballalae,Solomon Islands,BAS
Chafei Amsei Airport,Barretos,Brazil,BAT
Bauru Airport,Bauru,Brazil,BAU
Baotou Airport,Baotou,China,BAV
Barnaul Airport,Barnaul,Russia,BAX
Tautii Magheraus Airport,Baia Mare,Romania,BAY
Barcelos Airport,Barcelos,Brazil,BAZ
Balmaceda Airport,Balmaceda,Chile,BBA
Bay City Municipal Airport,Bay City,United States,BBC
Curtis Field,Brady,United States,BBD
Butaritari Atoll Airport,Butaritari,Kiribati,BBG
Barth Airport,Barth,Germany,BBH
Biju Patnaik Airport,Bhubaneswar,India,BBI
Bitburg Airport,Birburg,Germany,BBJ
Kasane Airport,Kasane,Botswana,BBK
Ballera Airport,Ballera,Australia,BBL
Battambang Airport,Battambang,Cambodia,BBM
Bario Airport,Bario,Malaysia,BBN
Berbera Airport,Berbera,Somalia,BBO
Bembridge Airport,Bembridge,United Kingdom,BBP
Codrington Airport,Codrington,Antigua and Barbuda,BBQ
Baillif Airport,Basse Terre,Guadeloupe,BBR
Blackbushe Airport,Blackbushe,United Kingdom,BBS
Berbérati Airport,Berberati,Central African Republic,BBT
Băneasa International Airport,Bucharest,Romania,BBU
Wings Field,Philadelphia,United States,BBX
Gustavo Rizo Airport,Baracoa Playa,Cuba,BCA
Bacolod-Silay Airport,Bacolod,Philippines,BCD
Bryce Canyon Airport,Bryce Canyon,United States,BCE
Cakung Airport,Baucau,East Timor,BCH
Barcaldine Airport,Barcaldine,Australia,BCI
Barra del Colorado Airport,Pococi,Costa Rica,BCL
Bacău Airport,Bacau,Romania,BCM
Barcelona International Airport,Barcelona,Spain,BCN
Baco Airport,Baco,Ethiopia,BCO
Boca Raton Airport,Boca Raton,United States,BCT
Sir Abubakar Tafawa Balewa International Airport,Bauchi,Nigeria,BCU
L.F. Wade International International Airport,Bermuda,Bermuda,BDA
Bundaberg Airport,Bundaberg,Australia,BDB
Badu Island Airport,Badu Island,Australia,BDD
Baudette International Airport,Baudette,United States,BDE
Bandar Lengeh Airport,Bandar Lengeh,Iran,BDH
Bird Island Airport,Bird Island,Seychelles,BDI
Syamsudin Noor Airport,Banjarmasin,Indonesia,BDJ
Bradley International Airport,Windsor Locks,United States,BDL
Bandırma Airport,Bandirma,Turkey,BDM
Talhar Airport,Talhar,Pakistan,BDN
Husein Sastranegara International Airport,Bandung,Indonesia,BDO
Bhadrapur Airport,Chandragarhi,Nepal,BDP
Vadodara Airport,Baroda,India,BDQ
Igor I Sikorsky Memorial Airport,Stratford,United States,BDR
Brindisi – Salento Airport,Brindisi,Italy,BDS
Gbadolite Airport,Gbadolite,Congo (Kinshasa),BDT
Bardufoss Airport,Bardufoss,Norway,BDU
Benbecula Airport,Benbecula,United Kingdom,BEB
Beech Factory Airport,Wichita,United States,BEC
Laurence G Hanscom Field,Bedford,United States,BED
Bluefields Airport,Bluefields,Nicaragua,BEF
Belgrade Nikola Tesla Airport,Belgrade,Serbia,BEG
Beica Airport,Beica,Ethiopia,BEI
Kalimarau Airport,Tanjung Redep-Borneo Island,Indonesia,BEJ
Bareilly Air Force Station,Bareilly,India,BEK
Val de Cans/Júlio Cezar Ribeiro International Airport,Belem,Brazil,BEL
Beni Mellal Airport,Beni Mellal,Morocco,BEM
Benina International Airport,Benghazi,Libya,BEN
Lake Macquarie Airport,Lake Macquarie,Australia,BEO
Bellary Airport,Bellary,India,BEP
RAF Honington,Honington,United Kingdom,BEQ
Brest Bretagne Airport,Brest,France,BES
Bethel Airport,Bethel,United States,BET
Bedourie Airport,Bedourie,Australia,BEU
Beersheba (Teyman) Airport,Beer-sheba,Israel,BEV
Beira Airport,Beira,Mozambique,BEW
RAF Benson,Benson,United Kingdom,BEX
Beirut Rafic Hariri International Airport,Beirut,Lebanon,BEY
Beru Airport,Beru Island,Kiribati,BEZ
Bradford Regional Airport,Bradford,United States,BFD
Bielefeld Airport,Bielefeld,Germany,BFE
Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,United States,BFF
Bacacheri Airport,Curitiba,Brazil,BFH
Boeing Field King County International Airport,Seattle,United States,BFI
Bijie Feixiong Airport,Bijie,China,BFJ
Buckley Air Force Base,Buckley,United States,BFK
Meadows Field,Bakersfield,United States,BFL
Mobile Downtown Airport,Mobile,United States,BFM
Bram Fischer International Airport,Bloemfontein,South Africa,BFN
Buffalo Range Airport,Chiredzi,Zimbabwe,BFO
Beaver County Airport,Beaver Falls,United States,BFP
Belfast International Airport,Belfast,United Kingdom,BFS
Beaufort County Airport,Beaufort,United States,BFT
Bengbu Airport,Bengbu,China,BFU
Buri Ram Airport,Buri Ram,Thailand,BFV
Sidi Bel Abbes Airport,Sidi Bel Abbes,Algeria,BFW
Bafoussam Airport,Bafoussam,Cameroon,BFX
Palonegro Airport,Bucaramanga,Colombia,BGA
Bragança Airport,Braganca,Portugal,BGC
Hutchinson County Airport,Borger,United States,BGD
Decatur County Industrial Air Park,Bainbridge,United States,BGE
Bangui M'Poko International Airport,Bangui,Central African Republic,BGF
Bingöl Çeltiksuyu Airport,Bingol,Turkey,BGG
Sir Grantley Adams International Airport,Bridgetown,Barbados,BGI
Baglung Airport,Baglung,Nepal,BGL
Greater Binghamton/Edwin A Link field,Binghamton,United States,BGM
Belaya Gora Airport,,Russia,BGN
Bergen Airport Flesland,Bergen,Norway,BGO
Bangor International Airport,Bangor,United States,BGR
Baghdad International Airport,Baghdad,Iraq,BGW
Comandante Gustavo Kraemer Airport,Bage,Brazil,BGX
Il Caravaggio International Airport,Bergamo,Italy,BGY
Braga Municipal Aerodrome,Braga,Portugal,BGZ
Hancock County-Bar Harbor Airport,Bar Harbor,United States,BHB
George Best Belfast City Airport,Belfast,United Kingdom,BHD
Woodbourne Airport,Woodbourne,New Zealand,BHE
Brus Laguna Airport,Brus Laguna,Honduras,BHG
Bisha Airport,Bisha,Saudi Arabia,BHH
Comandante Espora Airport,Bahia Blanca,Argentina,BHI
Bhuj Airport,Bhuj,India,BHJ
Bukhara Airport,Bukhara,Uzbekistan,BHK
Birmingham-Shuttlesworth International Airport,Birmingham,United States,BHM
Beihan Airport,Beihan,Yemen,BHN
Raja Bhoj International Airport,Bhopal,India,BHO
Bhojpur Airport,Bhojpur,Nepal,BHP
Broken Hill Airport,Broken Hill,Australia,BHQ
Bharatpur Airport,Bharatpur,Nepal,BHR
Bathurst Airport,Bathurst,Australia,BHS
Bhavnagar Airport,Bhaunagar,India,BHU
Bahawalpur Airport,Bahawalpur,Pakistan,BHV
Bhagatanwala Airport,Bhagtanwala,Pakistan,BHW
Birmingham International Airport,Birmingham,United Kingdom,BHX
Beihai Airport,Beihai,China,BHY
Bastia-Poretta Airport,Bastia,France,BIA
Baidoa Airport,Baidoa,Somalia,BIB
Block Island State Airport,Block Island,United States,BID
Biggs Army Air Field (Fort Bliss),El Paso,United States,BIF
Allen Army Airfield,Delta Junction,United States,BIG
Eastern Sierra Regional Airport,Bishop,United States,BIH
Frans Kaisiepo Airport,Biak,Indonesia,BIK
Billings Logan International Airport,Billings,United States,BIL
South Bimini Airport,Alice Town,Bahamas,BIM
Bamiyan Airport,Bamyan,Afghanistan,BIN
Bilbao Airport,Bilbao,Spain,BIO
Biarritz-Anglet-Bayonne Airport,Biarritz-bayonne,France,BIQ
Biratnagar Airport,Biratnagar,Nepal,BIR
Bismarck Municipal Airport,Bismarck,United States,BIS
Bildudalur Airport,Bildudalur,Iceland,BIU
Keesler Air Force Base,Biloxi,United States,BIX
Bisho Airport,Bisho,South Africa,BIY
Soummam Airport,Bejaja,Algeria,BJA
Bojnord Airport,Bojnourd,Iran,BJB
Rocky Mountain Metropolitan Airport,Broomfield-CO,United States,BJC
Båtsfjord Airport,Batsfjord,Norway,BJF
Bajhang Airport,Bajhang,Nepal,BJH
Bemidji Regional Airport,Bemidji,United States,BJI
Banjul International Airport,Banjul,Gambia,BJL
Bujumbura International Airport,Bujumbura,Burundi,BJM
Bermejo Airport,Bermejo,Bolivia,BJO
Estadual Arthur Siqueira Airport,Braganca Paulista,Brazil,BJP
Bahir Dar Airport,Bahar Dar,Ethiopia,BJR
Bajura Airport,Bajura,Nepal,BJU
Milas Bodrum International Airport,Bodrum,Turkey,BJV
Bajawa Soa Airport,Bajawa,Indonesia,BJW
Del Bajío International Airport,Del Bajio,Mexico,BJX
Batajnica Air Base,Batajnica,Serbia,BJY
Badajoz Airport,Badajoz,Spain,BJZ
Bykovo Airport,Moscow,Russia,BKA
Nal Airport,Bikaner,India,BKB
Buckland Airport,Buckland,United States,BKC
Stephens County Airport,Breckenridge,United States,BKD
Baker City Municipal Airport,Baker City,United States,BKE
Branson Airport,Branson,United States,BKG
Barking Sands Airport,Barking Sands,United States,BKH
Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,BKI
Suvarnabhumi Airport,Bangkok,Thailand,BKK
Burke Lakefront Airport,Cleveland,United States,BKL
Bakalalan Airport,Bakalalan,Malaysia,BKM
Modibo Keita International Airport,Bamako,Mali,BKO
Blackall Airport,Blackall,Australia,BKQ
Fatmawati Soekarno Airport,Bengkulu,Indonesia,BKS
Raleigh County Memorial Airport,Beckley,United States,BKW
Bukavu Kavumu Airport,Bukavu/kavumu,Congo (Kinshasa),BKY
Bukoba Airport,Bukoba,Tanzania,BKZ
